,Unnamed: 0,year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit,Unnamed: 0,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
45,45,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,111,COUNT,45.0,2007.03,Corporate business enterprises,141.0,Closing balance total liabilities and net worth,LE00000,L000000,567352
46,46,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,7419,COUNT,46.0,2007.03,Central bank,211.0,Closing balance total assets,LE00000,A000000,20719
47,47,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,200,DOLLARS(millions),47.0,2007.03,Central bank,211.0,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,20663
48,48,2011,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1075,DOLLARS(millions),48.0,2007.03,Central bank,211.0,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
49,49,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1170,DOLLARS(millions),49.0,2007.03,Central bank,211.0,Financial assets Closing balance currency and deposits,LE00000,AFA0200,446
50,50,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1056,DOLLARS(millions),50.0,2007.03,Central bank,211.0,Financial assets Closing balance debt securities,LE00000,AFA0300,15368
51,51,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39,DOLLARS(millions),51.0,2007.03,Central bank,211.0,Financial assets Closing balance loans,LE00000,AFA0400,4313
52,52,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,2067,DOLLARS(millions),52.0,2007.03,Central bank,211.0,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,102
53,53,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,930,DOLLARS(millions),53.0,2007.03,Central bank,211.0,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
54,54,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,27,COUNT,54.0,2007.03,Central bank,211.0,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,395
55,55,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,3522,COUNT,55.0,2007.03,Central bank,211.0,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,39
56,56,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,86,DOLLARS(millions),56.0,2007.03,Central bank,211.0,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,20719
57,57,2011,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",341,DOLLARS(millions),57.0,2007.03,Central bank,211.0,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
58,58,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,364,DOLLARS(millions),58.0,2007.03,Central bank,211.0,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,13531
59,59,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,333,DOLLARS(millions),59.0,2007.03,Central bank,211.0,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
60,60,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37,DOLLARS(millions),60.0,2007.03,Central bank,211.0,Financial liabilities Closing balance loans,LE00000,AFL0400,5182
61,61,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,807,DOLLARS(millions),61.0,2007.03,Central bank,211.0,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1609
62,62,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets,C,DOLLARS(millions),62.0,2007.03,Central bank,211.0,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
63,63,2011,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,15,COUNT,63.0,2007.03,Central bank,211.0,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
64,64,2011,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,6120,COUNT,64.0,2007.03,Central bank,211.0,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,397
65,65,2011,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,173,DOLLARS(millions),65.0,2007.03,Central bank,211.0,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,42
66,66,2011,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",920,DOLLARS(millions),66.0,2007.03,Central bank,211.0,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
67,67,2011,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1034,DOLLARS(millions),67.0,2007.03,Central bank,211.0,Closing balance net worth,LE00000,B900000,0
68,68,2011,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,850,DOLLARS(millions),68.0,2007.03,Central bank,211.0,Closing balance total liabilities and net worth,LE00000,L000000,20719
69,69,2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93,DOLLARS(millions),69.0,2007.03,Registered banks,221.0,Closing balance total assets,LE00000,A000000,300264
70,70,2011,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,2555,DOLLARS(millions),70.0,2007.03,Registered banks,221.0,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,293582
71,71,2011,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions),71.0,2007.03,Registered banks,221.0,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
72,72,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,71652,COUNT,72.0,2007.03,Registered banks,221.0,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11993
73,73,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,97878,COUNT,73.0,2007.03,Registered banks,221.0,Financial assets Closing balance debt securities,LE00000,AFA0300,16493
74,74,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,3527,DOLLARS(millions),74.0,2007.03,Registered banks,221.0,Financial assets Closing balance loans,LE00000,AFA0400,253893
75,75,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",31145,DOLLARS(millions),75.0,2007.03,Registered banks,221.0,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,378
76,76,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,32642,DOLLARS(millions),76.0,2007.03,Registered banks,221.0,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
77,77,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,29185,DOLLARS(millions),77.0,2007.03,Registered banks,221.0,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,8104
78,78,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,2616,DOLLARS(millions),78.0,2007.03,Registered banks,221.0,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,2721
79,79,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,133625,DOLLARS(millions),79.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,318750
80,80,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,76626,DOLLARS(millions),80.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
81,81,2011,B,Mining,a_0,Activity unit,333,COUNT,81.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,161122
82,82,2011,B,Mining,a_0,Rolling mean employees,0,COUNT,82.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance debt securities,LE00000,AFL0300,86031
83,83,2011,B,Mining,a_0,Salaries and wages paid,98,DOLLARS(millions),83.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance loans,LE00000,AFL0400,29196
84,84,2011,B,Mining,a_0,"Sales, government funding, grants and subsidies",2111,DOLLARS(millions),84.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,30897
85,85,2011,B,Mining,a_0,Total income,2271,DOLLARS(millions),85.0,2007.03,Registered banks,221.0,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
86,86,2011,B,Mining,a_0,Total expenditure,1673,DOLLARS(millions),86.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,8845
87,87,2011,B,Mining,a_0,Operating profit before tax,636,DOLLARS(millions),87.0,2007.03,Registered banks,221.0,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2659
88,88,2011,B,Mining,a_0,Total assets,11988,DOLLARS(millions),88.0,2007.03,Registered banks,221.0,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,2082
89,89,2011,B,Mining,a_0,Fixed tangible assets,3579,DOLLARS(millions),89.0,2007.03,Registered banks,221.0,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,4600
90,90,2011,B,Mining,b_1-5,Activity unit,168,COUNT,90.0,2007.03,Registered banks,221.0,Closing balance net worth,LE00000,B900000,-18486
91,91,2011,B,Mining,b_1-5,Rolling mean employees,360,COUNT,91.0,2007.03,Registered banks,221.0,Closing balance total liabilities and net worth,LE00000,L000000,300264
92,92,2011,B,Mining,b_1-5,Salaries and wages paid,50,DOLLARS(millions),92.0,2007.03,Other depository institutions,222.0,Closing balance total assets,LE00000,A000000,16502
93,93,2011,B,Mining,b_1-5,"Sales, government funding, grants and subsidies",443,DOLLARS(millions),93.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,16308
94,94,2011,B,Mining,b_1-5,Total income,462,DOLLARS(millions),94.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
95,95,2011,B,Mining,b_1-5,Total expenditure,411,DOLLARS(millions),95.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance currency and deposits,LE00000,AFA0200,..
96,96,2011,B,Mining,b_1-5,Operating profit before tax,89,DOLLARS(millions),96.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance debt securities,LE00000,AFA0300,10
97,97,2011,B,Mining,b_1-5,Total assets,1213,DOLLARS(millions),97.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance loans,LE00000,AFA0400,16298
98,98,2011,B,Mining,b_1-5,Fixed tangible assets,771,DOLLARS(millions),98.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
99,99,2011,B,Mining,c_6-9,Activity unit,21,COUNT,99.0,2007.03,Other depository institutions,222.0,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
100,100,2011,B,Mining,c_6-9,Rolling mean employees,174,COUNT,100.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
101,101,2011,B,Mining,c_6-9,Salaries and wages paid,12,DOLLARS(millions),101.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
102,102,2011,B,Mining,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions),102.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,16502
103,103,2011,B,Mining,c_6-9,Total income,65,DOLLARS(millions),103.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
104,104,2011,B,Mining,c_6-9,Total expenditure,68,DOLLARS(millions),104.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,14569
105,105,2011,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions),105.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
106,106,2011,B,Mining,c_6-9,Total assets,169,DOLLARS(millions),106.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance loans,LE00000,AFL0400,..
107,107,2011,B,Mining,c_6-9,Fixed tangible assets,36,DOLLARS(millions),107.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1933
108,108,2011,B,Mining,d_10-19,Activity unit,36,COUNT,108.0,2007.03,Other depository institutions,222.0,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
109,109,2011,B,Mining,d_10-19,Rolling mean employees,489,COUNT,109.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
110,110,2011,B,Mining,d_10-19,Salaries and wages paid,31,DOLLARS(millions),110.0,2007.03,Other depository institutions,222.0,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
111,111,2011,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",261,DOLLARS(millions),111.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,181
112,112,2011,B,Mining,d_10-19,Total income,265,DOLLARS(millions),112.0,2007.03,Other depository institutions,222.0,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,13
113,113,2011,B,Mining,d_10-19,Total expenditure,239,DOLLARS(millions),113.0,2007.03,Other depository institutions,222.0,Closing balance net worth,LE00000,B900000,0
114,114,2011,B,Mining,d_10-19,Operating profit before tax,45,DOLLARS(millions),114.0,2007.03,Other depository institutions,222.0,Closing balance total liabilities and net worth,LE00000,L000000,16502
115,115,2011,B,Mining,d_10-19,Total assets,375,DOLLARS(millions),115.0,2007.03,Investment funds,231.0,Closing balance total assets,LE00000,A000000,40185
116,116,2011,B,Mining,d_10-19,Fixed tangible assets,162,DOLLARS(millions),116.0,2007.03,Investment funds,231.0,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,40041
117,117,2011,B,Mining,e_20-49,Activity unit,21,COUNT,117.0,2007.03,Investment funds,231.0,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
118,118,2011,B,Mining,e_20-49,Rolling mean employees,714,COUNT,118.0,2007.03,Investment funds,231.0,Financial assets Closing balance currency and deposits,LE00000,AFA0200,9146
119,119,2011,B,Mining,e_20-49,Salaries and wages paid,59,DOLLARS(millions),119.0,2007.03,Investment funds,231.0,Financial assets Closing balance debt securities,LE00000,AFA0300,12842
120,120,2011,B,Mining,e_20-49,"Sales, government funding, grants and subsidies",759,DOLLARS(millions),120.0,2007.03,Investment funds,231.0,Financial assets Closing balance loans,LE00000,AFA0400,0
121,121,2011,B,Mining,e_20-49,Total income,872,DOLLARS(millions),121.0,2007.03,Investment funds,231.0,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,17740
122,122,2011,B,Mining,e_20-49,Total expenditure,490,DOLLARS(millions),122.0,2007.03,Investment funds,231.0,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
123,123,2011,B,Mining,e_20-49,Operating profit before tax,C,DOLLARS(millions),123.0,2007.03,Investment funds,231.0,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
124,124,2011,B,Mining,e_20-49,Total assets,C,DOLLARS(millions),124.0,2007.03,Investment funds,231.0,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,313
125,125,2011,B,Mining,e_20-49,Fixed tangible assets,C,DOLLARS(millions),125.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,40185
126,126,2011,B,Mining,f_50-99,Activity unit,12,COUNT,126.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
127,127,2011,B,Mining,f_50-99,Rolling mean employees,663,COUNT,127.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
128,128,2011,B,Mining,f_50-99,Salaries and wages paid,60,DOLLARS(millions),128.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
129,129,2011,B,Mining,f_50-99,"Sales, government funding, grants and subsidies",1188,DOLLARS(millions),129.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance loans,LE00000,AFL0400,0
130,130,2011,B,Mining,f_50-99,Total income,1346,DOLLARS(millions),130.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,40185
131,131,2011,B,Mining,f_50-99,Total expenditure,811,DOLLARS(millions),131.0,2007.03,Investment funds,231.0,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
132,132,2011,B,Mining,f_50-99,Operating profit before tax,C,DOLLARS(millions),132.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
133,133,2011,B,Mining,f_50-99,Total assets,2644,DOLLARS(millions),133.0,2007.03,Investment funds,231.0,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
134,134,2011,B,Mining,f_50-99,Fixed tangible assets,C,DOLLARS(millions),134.0,2007.03,Investment funds,231.0,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,144
135,135,2011,B,Mining,g_100-199,Activity unit,6,COUNT,135.0,2007.03,Investment funds,231.0,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
136,136,2011,B,Mining,g_100-199,Rolling mean employees,651,COUNT,136.0,2007.03,Investment funds,231.0,Closing balance net worth,LE00000,B900000,0
137,137,2011,B,Mining,g_100-199,Salaries and wages paid,48,DOLLARS(millions),137.0,2007.03,Investment funds,231.0,Closing balance total liabilities and net worth,LE00000,L000000,40185
