,year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
46,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,7419,COUNT
47,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,200,DOLLARS(millions)
48,2011,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1075,DOLLARS(millions)
49,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1170,DOLLARS(millions)
50,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1056,DOLLARS(millions)
51,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39,DOLLARS(millions)
52,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,2067,DOLLARS(millions)
53,2011,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,930,DOLLARS(millions)
54,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,27,COUNT
55,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,3522,COUNT
56,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,86,DOLLARS(millions)
57,2011,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",341,DOLLARS(millions)
58,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,364,DOLLARS(millions)
59,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,333,DOLLARS(millions)
60,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37,DOLLARS(millions)
61,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,807,DOLLARS(millions)
62,2011,A,"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets,C,DOLLARS(millions)
63,2011,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,15,COUNT
64,2011,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,6120,COUNT
65,2011,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,173,DOLLARS(millions)
66,2011,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",920,DOLLARS(millions)
67,2011,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1034,DOLLARS(millions)
68,2011,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,850,DOLLARS(millions)
69,2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93,DOLLARS(millions)
70,2011,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,2555,DOLLARS(millions)
71,2011,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions)
72,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,71652,COUNT
73,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,97878,COUNT
74,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,3527,DOLLARS(millions)
75,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",31145,DOLLARS(millions)
76,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,32642,DOLLARS(millions)
77,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,29185,DOLLARS(millions)
78,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,2616,DOLLARS(millions)
79,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,133625,DOLLARS(millions)
80,2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,76626,DOLLARS(millions)
81,2011,B,Mining,a_0,Activity unit,333,COUNT
82,2011,B,Mining,a_0,Rolling mean employees,0,COUNT
83,2011,B,Mining,a_0,Salaries and wages paid,98,DOLLARS(millions)
84,2011,B,Mining,a_0,"Sales, government funding, grants and subsidies",2111,DOLLARS(millions)
85,2011,B,Mining,a_0,Total income,2271,DOLLARS(millions)
86,2011,B,Mining,a_0,Total expenditure,1673,DOLLARS(millions)
87,2011,B,Mining,a_0,Operating profit before tax,636,DOLLARS(millions)
88,2011,B,Mining,a_0,Total assets,11988,DOLLARS(millions)
89,2011,B,Mining,a_0,Fixed tangible assets,3579,DOLLARS(millions)
90,2011,B,Mining,b_1-5,Activity unit,168,COUNT
91,2011,B,Mining,b_1-5,Rolling mean employees,360,COUNT
92,2011,B,Mining,b_1-5,Salaries and wages paid,50,DOLLARS(millions)
93,2011,B,Mining,b_1-5,"Sales, government funding, grants and subsidies",443,DOLLARS(millions)
94,2011,B,Mining,b_1-5,Total income,462,DOLLARS(millions)
95,2011,B,Mining,b_1-5,Total expenditure,411,DOLLARS(millions)
96,2011,B,Mining,b_1-5,Operating profit before tax,89,DOLLARS(millions)
97,2011,B,Mining,b_1-5,Total assets,1213,DOLLARS(millions)
98,2011,B,Mining,b_1-5,Fixed tangible assets,771,DOLLARS(millions)
99,2011,B,Mining,c_6-9,Activity unit,21,COUNT
100,2011,B,Mining,c_6-9,Rolling mean employees,174,COUNT
101,2011,B,Mining,c_6-9,Salaries and wages paid,12,DOLLARS(millions)
102,2011,B,Mining,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
103,2011,B,Mining,c_6-9,Total income,65,DOLLARS(millions)
104,2011,B,Mining,c_6-9,Total expenditure,68,DOLLARS(millions)
105,2011,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions)
106,2011,B,Mining,c_6-9,Total assets,169,DOLLARS(millions)
107,2011,B,Mining,c_6-9,Fixed tangible assets,36,DOLLARS(millions)
108,2011,B,Mining,d_10-19,Activity unit,36,COUNT
109,2011,B,Mining,d_10-19,Rolling mean employees,489,COUNT
110,2011,B,Mining,d_10-19,Salaries and wages paid,31,DOLLARS(millions)
111,2011,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",261,DOLLARS(millions)
112,2011,B,Mining,d_10-19,Total income,265,DOLLARS(millions)
113,2011,B,Mining,d_10-19,Total expenditure,239,DOLLARS(millions)
114,2011,B,Mining,d_10-19,Operating profit before tax,45,DOLLARS(millions)
115,2011,B,Mining,d_10-19,Total assets,375,DOLLARS(millions)
116,2011,B,Mining,d_10-19,Fixed tangible assets,162,DOLLARS(millions)
117,2011,B,Mining,e_20-49,Activity unit,21,COUNT
118,2011,B,Mining,e_20-49,Rolling mean employees,714,COUNT
119,2011,B,Mining,e_20-49,Salaries and wages paid,59,DOLLARS(millions)
120,2011,B,Mining,e_20-49,"Sales, government funding, grants and subsidies",759,DOLLARS(millions)
121,2011,B,Mining,e_20-49,Total income,872,DOLLARS(millions)
122,2011,B,Mining,e_20-49,Total expenditure,490,DOLLARS(millions)
123,2011,B,Mining,e_20-49,Operating profit before tax,C,DOLLARS(millions)
124,2011,B,Mining,e_20-49,Total assets,C,DOLLARS(millions)
125,2011,B,Mining,e_20-49,Fixed tangible assets,C,DOLLARS(millions)
126,2011,B,Mining,f_50-99,Activity unit,12,COUNT
127,2011,B,Mining,f_50-99,Rolling mean employees,663,COUNT
128,2011,B,Mining,f_50-99,Salaries and wages paid,60,DOLLARS(millions)
129,2011,B,Mining,f_50-99,"Sales, government funding, grants and subsidies",1188,DOLLARS(millions)
130,2011,B,Mining,f_50-99,Total income,1346,DOLLARS(millions)
131,2011,B,Mining,f_50-99,Total expenditure,811,DOLLARS(millions)
132,2011,B,Mining,f_50-99,Operating profit before tax,C,DOLLARS(millions)
133,2011,B,Mining,f_50-99,Total assets,2644,DOLLARS(millions)
134,2011,B,Mining,f_50-99,Fixed tangible assets,C,DOLLARS(millions)
135,2011,B,Mining,g_100-199,Activity unit,6,COUNT
136,2011,B,Mining,g_100-199,Rolling mean employees,651,COUNT
137,2011,B,Mining,g_100-199,Salaries and wages paid,48,DOLLARS(millions)
138,2011,B,Mining,g_100-199,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
139,2011,B,Mining,g_100-199,Total income,272,DOLLARS(millions)
140,2011,B,Mining,g_100-199,Total expenditure,376,DOLLARS(millions)
141,2011,B,Mining,g_100-199,Operating profit before tax,C,DOLLARS(millions)
142,2011,B,Mining,g_100-199,Total assets,C,DOLLARS(millions)
143,2011,B,Mining,g_100-199,Fixed tangible assets,C,DOLLARS(millions)
144,2011,B,Mining,h_200+,Activity unit,9,COUNT
145,2011,B,Mining,h_200+,Rolling mean employees,2850,COUNT
146,2011,B,Mining,h_200+,Salaries and wages paid,261,DOLLARS(millions)
147,2011,B,Mining,h_200+,"Sales, government funding, grants and subsidies",1858,DOLLARS(millions)
148,2011,B,Mining,h_200+,Total income,1933,DOLLARS(millions)
149,2011,B,Mining,h_200+,Total expenditure,1673,DOLLARS(millions)
150,2011,B,Mining,h_200+,Operating profit before tax,286,DOLLARS(millions)
151,2011,B,Mining,h_200+,Total assets,2099,DOLLARS(millions)
152,2011,B,Mining,h_200+,Fixed tangible assets,1050,DOLLARS(millions)
153,2011,B,Mining,i_Industry_Total,Activity unit,606,COUNT
154,2011,B,Mining,i_Industry_Total,Rolling mean employees,5907,COUNT
155,2011,B,Mining,i_Industry_Total,Salaries and wages paid,621,DOLLARS(millions)
156,2011,B,Mining,i_Industry_Total,"Sales, government funding, grants and subsidies",6944,DOLLARS(millions)
157,2011,B,Mining,i_Industry_Total,Total income,7486,DOLLARS(millions)
158,2011,B,Mining,i_Industry_Total,Total expenditure,5742,DOLLARS(millions)
159,2011,B,Mining,i_Industry_Total,Operating profit before tax,1895,DOLLARS(millions)
160,2011,B,Mining,i_Industry_Total,Total assets,26953,DOLLARS(millions)
161,2011,B,Mining,i_Industry_Total,Fixed tangible assets,8859,DOLLARS(millions)
162,2011,C,Manufacturing,a_0,Activity unit,8382,COUNT
163,2011,C,Manufacturing,a_0,Rolling mean employees,0,COUNT
164,2011,C,Manufacturing,a_0,Salaries and wages paid,154,DOLLARS(millions)
165,2011,C,Manufacturing,a_0,"Sales, government funding, grants and subsidies",1993,DOLLARS(millions)
166,2011,C,Manufacturing,a_0,Total income,2004,DOLLARS(millions)
167,2011,C,Manufacturing,a_0,Total expenditure,1796,DOLLARS(millions)
168,2011,C,Manufacturing,a_0,Operating profit before tax,204,DOLLARS(millions)
169,2011,C,Manufacturing,a_0,Total assets,2173,DOLLARS(millions)
170,2011,C,Manufacturing,a_0,Fixed tangible assets,645,DOLLARS(millions)
171,2011,C,Manufacturing,b_1-5,Activity unit,6942,COUNT
172,2011,C,Manufacturing,b_1-5,Rolling mean employees,15327,COUNT
173,2011,C,Manufacturing,b_1-5,Salaries and wages paid,627,DOLLARS(millions)
174,2011,C,Manufacturing,b_1-5,"Sales, government funding, grants and subsidies",3669,DOLLARS(millions)
175,2011,C,Manufacturing,b_1-5,Total income,3683,DOLLARS(millions)
176,2011,C,Manufacturing,b_1-5,Total expenditure,3458,DOLLARS(millions)
177,2011,C,Manufacturing,b_1-5,Operating profit before tax,241,DOLLARS(millions)
178,2011,C,Manufacturing,b_1-5,Total assets,2675,DOLLARS(millions)
179,2011,C,Manufacturing,b_1-5,Fixed tangible assets,612,DOLLARS(millions)
180,2011,C,Manufacturing,c_6-9,Activity unit,1872,COUNT
181,2011,C,Manufacturing,c_6-9,Rolling mean employees,13680,COUNT
182,2011,C,Manufacturing,c_6-9,Salaries and wages paid,561,DOLLARS(millions)
183,2011,C,Manufacturing,c_6-9,"Sales, government funding, grants and subsidies",2168,DOLLARS(millions)
184,2011,C,Manufacturing,c_6-9,Total income,2184,DOLLARS(millions)
185,2011,C,Manufacturing,c_6-9,Total expenditure,2073,DOLLARS(millions)
186,2011,C,Manufacturing,c_6-9,Operating profit before tax,128,DOLLARS(millions)
187,2011,C,Manufacturing,c_6-9,Total assets,1392,DOLLARS(millions)
188,2011,C,Manufacturing,c_6-9,Fixed tangible assets,375,DOLLARS(millions)
189,2011,C,Manufacturing,d_10-19,Activity unit,1884,COUNT
190,2011,C,Manufacturing,d_10-19,Rolling mean employees,25053,COUNT
191,2011,C,Manufacturing,d_10-19,Salaries and wages paid,1118,DOLLARS(millions)
192,2011,C,Manufacturing,d_10-19,"Sales, government funding, grants and subsidies",4407,DOLLARS(millions)
193,2011,C,Manufacturing,d_10-19,Total income,4435,DOLLARS(millions)
194,2011,C,Manufacturing,d_10-19,Total expenditure,4356,DOLLARS(millions)
195,2011,C,Manufacturing,d_10-19,Operating profit before tax,98,DOLLARS(millions)
196,2011,C,Manufacturing,d_10-19,Total assets,2875,DOLLARS(millions)
197,2011,C,Manufacturing,d_10-19,Fixed tangible assets,684,DOLLARS(millions)
198,2011,C,Manufacturing,e_20-49,Activity unit,1149,COUNT
199,2011,C,Manufacturing,e_20-49,Rolling mean employees,34092,COUNT
200,2011,C,Manufacturing,e_20-49,Salaries and wages paid,1658,DOLLARS(millions)
201,2011,C,Manufacturing,e_20-49,"Sales, government funding, grants and subsidies",7997,DOLLARS(millions)
202,2011,C,Manufacturing,e_20-49,Total income,8050,DOLLARS(millions)
203,2011,C,Manufacturing,e_20-49,Total expenditure,7631,DOLLARS(millions)
204,2011,C,Manufacturing,e_20-49,Operating profit before tax,508,DOLLARS(millions)
205,2011,C,Manufacturing,e_20-49,Total assets,5947,DOLLARS(millions)
206,2011,C,Manufacturing,e_20-49,Fixed tangible assets,1922,DOLLARS(millions)
207,2011,C,Manufacturing,f_50-99,Activity unit,372,COUNT
208,2011,C,Manufacturing,f_50-99,Rolling mean employees,25515,COUNT
209,2011,C,Manufacturing,f_50-99,Salaries and wages paid,1335,DOLLARS(millions)
210,2011,C,Manufacturing,f_50-99,"Sales, government funding, grants and subsidies",10615,DOLLARS(millions)
211,2011,C,Manufacturing,f_50-99,Total income,10746,DOLLARS(millions)
212,2011,C,Manufacturing,f_50-99,Total expenditure,10291,DOLLARS(millions)
213,2011,C,Manufacturing,f_50-99,Operating profit before tax,510,DOLLARS(millions)
214,2011,C,Manufacturing,f_50-99,Total assets,6520,DOLLARS(millions)
215,2011,C,Manufacturing,f_50-99,Fixed tangible assets,2190,DOLLARS(millions)
216,2011,C,Manufacturing,g_100-199,Activity unit,171,COUNT
217,2011,C,Manufacturing,g_100-199,Rolling mean employees,24069,COUNT
218,2011,C,Manufacturing,g_100-199,Salaries and wages paid,1459,DOLLARS(millions)
219,2011,C,Manufacturing,g_100-199,"Sales, government funding, grants and subsidies",10969,DOLLARS(millions)
220,2011,C,Manufacturing,g_100-199,Total income,11192,DOLLARS(millions)
221,2011,C,Manufacturing,g_100-199,Total expenditure,10660,DOLLARS(millions)
222,2011,C,Manufacturing,g_100-199,Operating profit before tax,679,DOLLARS(millions)
223,2011,C,Manufacturing,g_100-199,Total assets,9202,DOLLARS(millions)
224,2011,C,Manufacturing,g_100-199,Fixed tangible assets,2312,DOLLARS(millions)
225,2011,C,Manufacturing,h_200+,Activity unit,141,COUNT
226,2011,C,Manufacturing,h_200+,Rolling mean employees,83955,COUNT
227,2011,C,Manufacturing,h_200+,Salaries and wages paid,5284,DOLLARS(millions)
228,2011,C,Manufacturing,h_200+,"Sales, government funding, grants and subsidies",53126,DOLLARS(millions)
229,2011,C,Manufacturing,h_200+,Total income,53879,DOLLARS(millions)
230,2011,C,Manufacturing,h_200+,Total expenditure,53118,DOLLARS(millions)
231,2011,C,Manufacturing,h_200+,Operating profit before tax,1508,DOLLARS(millions)
232,2011,C,Manufacturing,h_200+,Total assets,40714,DOLLARS(millions)
233,2011,C,Manufacturing,h_200+,Fixed tangible assets,13877,DOLLARS(millions)
234,2011,C,Manufacturing,i_Industry_Total,Activity unit,20916,COUNT
235,2011,C,Manufacturing,i_Industry_Total,Rolling mean employees,221694,COUNT
236,2011,C,Manufacturing,i_Industry_Total,Salaries and wages paid,12196,DOLLARS(millions)
237,2011,C,Manufacturing,i_Industry_Total,"Sales, government funding, grants and subsidies",94944,DOLLARS(millions)
238,2011,C,Manufacturing,i_Industry_Total,Total income,96174,DOLLARS(millions)
239,2011,C,Manufacturing,i_Industry_Total,Total expenditure,93383,DOLLARS(millions)
240,2011,C,Manufacturing,i_Industry_Total,Operating profit before tax,3875,DOLLARS(millions)
241,2011,C,Manufacturing,i_Industry_Total,Total assets,71498,DOLLARS(millions)
242,2011,C,Manufacturing,i_Industry_Total,Fixed tangible assets,22617,DOLLARS(millions)
243,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Activity unit,540,COUNT
244,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Rolling mean employees,0,COUNT
245,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Salaries and wages paid,23,DOLLARS(millions)
246,2011,D,"Electricity, Gas, Water and Waste Services",a_0,"Sales, government funding, grants and subsidies",2377,DOLLARS(millions)
247,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Total income,2447,DOLLARS(millions)
248,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Total expenditure,2133,DOLLARS(millions)
249,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Operating profit before tax,361,DOLLARS(millions)
250,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Total assets,8615,DOLLARS(millions)
251,2011,D,"Electricity, Gas, Water and Waste Services",a_0,Fixed tangible assets,6118,DOLLARS(millions)
252,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Activity unit,306,COUNT
253,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Rolling mean employees,636,COUNT
254,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Salaries and wages paid,28,DOLLARS(millions)
255,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,"Sales, government funding, grants and subsidies",156,DOLLARS(millions)
256,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total income,159,DOLLARS(millions)
257,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total expenditure,142,DOLLARS(millions)
258,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Operating profit before tax,19,DOLLARS(millions)
259,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total assets,435,DOLLARS(millions)
260,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Fixed tangible assets,177,DOLLARS(millions)
261,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Activity unit,66,COUNT
262,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Rolling mean employees,492,COUNT
263,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Salaries and wages paid,24,DOLLARS(millions)
264,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,"Sales, government funding, grants and subsidies",126,DOLLARS(millions)
265,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total income,126,DOLLARS(millions)
266,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total expenditure,117,DOLLARS(millions)
267,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Operating profit before tax,20,DOLLARS(millions)
268,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total assets,111,DOLLARS(millions)
269,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Fixed tangible assets,69,DOLLARS(millions)
270,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Activity unit,42,COUNT
271,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Rolling mean employees,549,COUNT
272,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Salaries and wages paid,21,DOLLARS(millions)
273,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,"Sales, government funding, grants and subsidies",138,DOLLARS(millions)
274,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total income,142,DOLLARS(millions)
275,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total expenditure,129,DOLLARS(millions)
276,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Operating profit before tax,18,DOLLARS(millions)
277,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total assets,389,DOLLARS(millions)
278,2011,D,"Electricity, Gas, Water and Waste Services",d_10-19,Fixed tangible assets,304,DOLLARS(millions)
279,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Activity unit,33,COUNT
280,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Rolling mean employees,1029,COUNT
281,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Salaries and wages paid,54,DOLLARS(millions)
282,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,"Sales, government funding, grants and subsidies",443,DOLLARS(millions)
283,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Total income,453,DOLLARS(millions)
284,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Total expenditure,389,DOLLARS(millions)
285,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Operating profit before tax,64,DOLLARS(millions)
286,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Total assets,764,DOLLARS(millions)
287,2011,D,"Electricity, Gas, Water and Waste Services",e_20-49,Fixed tangible assets,594,DOLLARS(millions)
288,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Activity unit,15,COUNT
289,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Rolling mean employees,1185,COUNT
290,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Salaries and wages paid,53,DOLLARS(millions)
291,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,"Sales, government funding, grants and subsidies",864,DOLLARS(millions)
292,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Total income,869,DOLLARS(millions)
293,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Total expenditure,789,DOLLARS(millions)
294,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Operating profit before tax,83,DOLLARS(millions)
295,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Total assets,1331,DOLLARS(millions)
296,2011,D,"Electricity, Gas, Water and Waste Services",f_50-99,Fixed tangible assets,989,DOLLARS(millions)
297,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Activity unit,9,COUNT
298,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Rolling mean employees,1587,COUNT
299,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Salaries and wages paid,83,DOLLARS(millions)
300,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,"Sales, government funding, grants and subsidies",714,DOLLARS(millions)
301,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total income,729,DOLLARS(millions)
302,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total expenditure,594,DOLLARS(millions)
303,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Operating profit before tax,156,DOLLARS(millions)
304,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total assets,3112,DOLLARS(millions)
305,2011,D,"Electricity, Gas, Water and Waste Services",g_100-199,Fixed tangible assets,2736,DOLLARS(millions)
306,2011,D,"Electricity, Gas, Water and Waste Services",h_200+,Activity unit,15,COUNT
307,2011,D,"Electricity, Gas, Water and Waste Services",h_200+,Rolling mean employees,8898,COUNT
308,2011,D,"Electricity, Gas, Water and Waste Services",h_200+,Salaries and wages paid,648,DOLLARS(millions)
